                                                                                                                                                                                                                                                           Definition    control    samples  Diferentes            ID
72  Homo sapiens interleukin 6 (interferon, beta 2) (IL6), mRNA.                                                                                                                                                                                                       6.770052   10.454210  True        ILMN_1699651
73  Homo sapiens jun oncogene (JUN), mRNA.                                                                                                                                                                                                                             7.872229   10.588698  True        ILMN_1806023
74  Homo sapiens leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5 (LILRA5), transcript variant 1, mRNA.                                                                                                                                  8.371106   10.779543  True        ILMN_2266595
75  Homo sapiens leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5 (LILRA5), transcript variant 1, mRNA.                                                                                                                                  8.371106   10.779543  True        ILMN_2357419
76  Homo sapiens mitogen-activated protein kinase kinase kinase 8 (MAP3K8), mRNA.                                                                                                                                                                                      8.286151   10.754216  True        ILMN_1741159
77  Homo sapiens myoferlin (MYOF), transcript variant 1, mRNA.                                                                                                                                                                                                         7.884711   10.250412  True        ILMN_3302919
78  Homo sapiens neuromedin B (NMB), transcript variant 1, mRNA.                                                                                                                                                                                                       7.100773   10.813741  True        ILMN_2347592
79  Homo sapiens neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2) (NCF2), mRNA.                                                                                                                                                       8.498657   10.591048  True        ILMN_1796642
80  Homo sapiens polymerase (RNA) III (DNA directed) polypeptide C (62kD) (POLR3C), mRNA.                                                                                                                                                                              8.604243   10.921359  True        ILMN_1795678
81  Homo sapiens prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase) (PTGS2), mRNA.                                                                                                                                                  7.385295   12.502460  True        ILMN_1677511
82  Homo sapiens prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase) (PTGS2), mRNA.                                                                                                                                                  7.385295   12.502460  True        ILMN_2054297
83  Homo sapiens protein kinase C and casein kinase substrate in neurons 1 (PACSIN1), mRNA.                                                                                                                                                                            10.399756  8.178944   True        ILMN_1751020
84  Homo sapiens radical S-adenosyl methionine domain containing 2 (RSAD2), mRNA.                                                                                                                                                                                      8.769980   10.812085  True        ILMN_1657871
85  Homo sapiens regulating synaptic membrane exocytosis 3 (RIMS3), mRNA.                                                                                                                                                                                              9.615285   7.614810   True        ILMN_1742382
86  Homo sapiens ribonuclease, RNase A family, k6 (RNASE6), mRNA.                                                                                                                                                                                                      9.801887   7.583839   True        ILMN_1780533
87  Homo sapiens ring finger protein 144B (RNF144B), mRNA.                                                                                                                                                                                                             7.779175   11.038229  True        ILMN_1752526
88  Homo sapiens septin 9 (SEPT9), mRNA.                                                                                                                                                                                                                               12.691031  10.507950  True        ILMN_1769118
89  Homo sapiens sialidase 4 (NEU4), mRNA.                                                                                                                                                                                                                             6.523972   10.572111  True        ILMN_2219683
90  Homo sapiens signal transducer and activator of transcription 5A (STAT5A), mRNA.                                                                                                                                                                                   9.497779   11.671380  True        ILMN_1753547
91  Homo sapiens solute carrier family 7, (cationic amino acid transporter, y+ system) member 11 (SLC7A11), mRNA.                                                                                                                                                      7.684583   9.862119   True        ILMN_1655229
92  Homo sapiens tropomyosin 2 (beta) (TPM2), transcript variant 2, mRNA.                                                                                                                                                                                              10.053909  7.757993   True        ILMN_1757604
93  Homo sapiens tropomyosin 2 (beta) (TPM2), transcript variant 2, mRNA.                                                                                                                                                                                              10.053909  7.757993   True        ILMN_1789196
94  Homo sapiens tryptophanyl-tRNA synthetase (WARS), transcript variant 1, mRNA.                                                                                                                                                                                      10.015121  12.676836  True        ILMN_2337655
95  Homo sapiens tryptophanyl-tRNA synthetase (WARS), transcript variant 2, mRNA.                                                                                                                                                                                      9.319142   12.172464  True        ILMN_1727271
96  Homo sapiens unc-84 homolog B (C. elegans) (UNC84B), mRNA.                                                                                                                                                                                                         11.265049  9.072571   True        ILMN_2099301
97  PREDICTED: Homo sapiens similar to C-C motif chemokine 3-like 1 precursor (Small-inducible cytokine A3-like 1) (Tonsillar lymphocyte LD78 beta protein) (LD78-beta(1-70)) (G0/G1 switch regulatory protein 19-2) (G0S19-2 protein) (PAT 464.2) (LOC728830), mRNA.  6.671034   9.265983   True        ILMN_3235755
98  PREDICTED: Homo sapiens similar to cytokine, transcript variant 3 (LOC728835), mRNA.                                                                                                                                                                               8.913912   12.866221  True        ILMN_3235832
99  PREDICTED: Homo sapiens similar to retrotransposon gag domain containing 1 (LOC652175), mRNA.                                                                                                                                                                      6.874984   8.935439   True        ILMN_1660200
